stake1u82lzwr99a4djhgv6c638urscuz86g56jt4vjgfzuw7e49shdtkvm,MagnumMaximus1173 AuroraAmor1464 AuroraAmor1460 UrsaCrater668 UrsaCrater765 AuroraAmor1518 AuroraAmor1434 AuroraAmor1209 MagnumMaximus856 MagnumMaximus973 AuroraAmor1208 MagnumMaximus993 Aquapolis345 AuroraAmor1410 Aquapolis139 Aquapolis301 Aquapolis136 Aquapolis366 MagnumMaximus814 UrsaCrater576 Aquapolis46 UrsaCrater564 AuroraAmor1372 MagnumMaximus860 AuroraAmor1399 UrsaCrater555 AuroraAmor1411 UrsaCrater645 UrsaCrater612 MagnumMaximus998 continent1022 continent1151 continent1284 continent185 continent282 continent430 continent459 continent502 continent57 continent809 continent831 continent989 floatingContinent1251,2022-12-14T15:07:58.208582
stake1uye6kr9fs5e5ajhly02w38jellu7d2mgfwv5vp64s5cydqg9qc9z2,Aquapolis182 MagnumMaximus1100 Aquapolis384 Aquapolis217 AuroraAmor1367 AuroraAmor1323 AuroraAmor1238 AuroraAmor1316 AuroraAmor1211 AuroraAmor1563 UrsaCrater524 AuroraAmor1494 AuroraAmor1393 UrsaCrater626 UrsaCrater446 UrsaCrater459 UrsaCrater637 Aquapolis52 MagnumMaximus978 MagnumMaximus1125 MagnumMaximus1139 AuroraAmor1212 Aquapolis289 MagnumMaximus805 MagnumMaximus859 continent1310 continent1368 continent1525 continent1627 continent1730 continent189 continent224 continent2494 continent674 continent797 continent943 continent987 continent112 continent1346 continent1370 continent1535 continent1803 continent2013 continent363 continent431 continent710 continent735 continent812 continent85 continent1091 continent111 continent1540 continent1853 continent1961 continent1995 continent2242 continent496 continent630 continent720 continent803 continent847 continent1291 continent1341 continent1452 continent1536 continent17 continent1742 continent1794 continent2369 continent2454 continent462 continent559 continent871 continent1136 continent1937 floatingContinent804 floatingContinent740 floatingContinent736 floatingContinent782,2022-12-14T15:07:58.208586
stake1ux2sjguq0vnaena4grnmh03asx65xphu9p0kdqge9qgsa3q0ut9f5,Aquapolis281 UrsaCrater715 UrsaCrater740,2022-12-14T15:07:58.208590
stake1uy984nc3qaj7grw7fv69wz38t87vp3vte5uqe5mnha5zdfqtkda4g,Aquapolis276 MagnumMaximus948 UrsaCrater609 AuroraAmor1521 UrsaCrater695 UrsaCrater791 UrsaCrater509 AuroraAmor1357 Aquapolis363 MagnumMaximus1082 Aquapolis248 Aquapolis165 MagnumMaximus1155 UrsaCrater638 AuroraAmor1568 Aquapolis370 UrsaCrater601 AuroraAmor1512 UrsaCrater533 Aquapolis141 UrsaCrater413 AuroraAmor1366 MagnumMaximus1196 UrsaCrater648 Aquapolis326 MagnumMaximus813 AuroraAmor1487 AuroraAmor1297 AuroraAmor1341 MagnumMaximus810 UrsaCrater790 Aquapolis390 UrsaCrater421 MagnumMaximus906 MagnumMaximus1118 UrsaCrater704 AuroraAmor1254 UrsaCrater619 UrsaCrater778 Aquapolis56 MagnumMaximus1057 AuroraAmor1404 UrsaCrater498 AuroraAmor1536 MagnumMaximus855 Aquapolis348 Aquapolis76 UrsaCrater518 UrsaCrater650 MagnumMaximus1144 MagnumMaximus951 MagnumMaximus1046 AuroraAmor1440 continent1119 continent1147 continent1180 continent1330 continent1728 continent1898 continent2175 continent2314 continent252 continent574 continent656 continent839 continent1003 continent1047 continent1145 continent1300 continent1474 continent1499 continent2043 continent2282 continent267 continent385 continent519 continent686 continent1240 continent1442 continent1576 continent1647 continent1664 continent2012 continent2238 continent2350 continent2413 continent294 continent60 continent888 continent1058 continent1184 continent1274 continent1775 continent2085 continent2252 continent2288 continent388 continent493 continent599 continent641 continent757 continent1035 continent1405 continent1454 continent1753 continent1815 continent1982 continent2383 continent33 continent345 continent751 continent892 continent893 floatingContinent1160 floatingContinent1149 floatingContinent270 floatingContinent263 floatingContinent292,2022-12-14T15:07:58.208595
stake1ux3cw6al8qmrl5hm9ws2tz6wlfpd94fcd45kutasne5kapct2qcs6,AuroraAmor1528 MagnumMaximus1041 AuroraAmor1296 MagnumMaximus1193 UrsaCrater664 AuroraAmor1447 Aquapolis55 MagnumMaximus933 UrsaCrater766 MagnumMaximus871 Aquapolis385 MagnumMaximus1121 MagnumMaximus877 MagnumMaximus914 MagnumMaximus1135 UrsaCrater502 Aquapolis53 Aquapolis245 MagnumMaximus1176 UrsaCrater655 Aquapolis85 AuroraAmor1281 MagnumMaximus1021 MagnumMaximus989 UrsaCrater561 continent1253 continent1455 continent1606 continent1875 continent228 continent2372 continent2427 continent422 continent433 continent59 continent855 continent856 floatingContinent1400,2022-12-14T15:07:58.208598
stake1u8lw3c59jhn495w8f3h7qtx6t7karsy04mhngl0g4tsgeacgz55wk,Aquapolis358 AuroraAmor1403 MagnumMaximus1122,2022-12-14T15:07:58.208602
stake1ux73uy97822gtnkf4mvz68m7ly4jl6ep6gvptlden8q6qtc3lugus,Aquapolis271 AuroraAmor1390 UrsaCrater768 Aquapolis292 Aquapolis123 UrsaCrater674 UrsaCrater534 UrsaCrater672 UrsaCrater618 AuroraAmor1204 AuroraAmor1363 AuroraAmor1405 AuroraAmor1317 MagnumMaximus966 AuroraAmor1348 UrsaCrater586 Aquapolis200 Aquapolis296 continent1027 continent1139 continent1224 continent1754 continent1849 continent1926 continent2078 continent2183 continent451 continent494 continent677 continent951 floatingContinent1004,2022-12-14T15:07:58.208606
stake1uy3qud6yv8e06ct6t9v4h5kufuj2k83trp082qq4kx0vjzcfhsfev,MagnumMaximus1070 MagnumMaximus873 MagnumMaximus808 UrsaCrater541 Aquapolis61 MagnumMaximus958 MagnumMaximus1004 MagnumMaximus994 UrsaCrater697 UrsaCrater690 Aquapolis96 Aquapolis9 continent116 continent2131 continent2370 continent788,2022-12-14T15:07:58.208609
stake1u8w507mahj3kk8wrvgpfmc23vftpkyj6ugl37lutwwh7x8s5vrmkp,Aquapolis140 MagnumMaximus890 UrsaCrater581 UrsaCrater641 UrsaCrater653 continent1049 continent1122 continent1919 continent739,2022-12-14T15:07:58.208613
stake1uyf6q2jryaetx2p5hrl8urkm3ck0t44t848er4lavunfdes2zhclm,UrsaCrater662,2022-12-14T15:07:58.208616
stake1uy27sdy40tl37x0h9u2qgeyzvpddhhq6rtpde7d2djephgq666sp2,UrsaCrater437 MagnumMaximus1073 MagnumMaximus1143 MagnumMaximus1158 Aquapolis144 UrsaCrater465 UrsaCrater683 UrsaCrater431 UrsaCrater450 UrsaCrater549 UrsaCrater410 AuroraAmor1542 AuroraAmor1511 MagnumMaximus963 UrsaCrater696 continent1441 continent1509 continent2399 continent2446 continent744,2022-12-14T15:07:58.208620
