2022-10-16T02:45:39.900565,2022-10-16T02:45:39.900565
stake1u98g8y7j0cl4yk5q9k7spwwne6s2cw8w746tdz8tev20qxgxae5w6,47385.0
stake1u8rh4kfcm5fu2zq0r5g0wugwdprz6kg2utrr6j38atx00pslj8ja9,846.0
stake1u8n78ww9n33agz5cn6p2xnm430snnpqjka3l67x6clywrhq0faxxm,1611.0
stake1uye9v9wh9smy8ep2mu77tx7krq9n7xzd42mwguzhs868u3qd3jmfz,3906.0
stake1uxqwp7x3k9uttex4xjwrpp45aku2hf095c76p2mj5qpd26q8hwu9u,981.0
stake1uyucykneqwas9szcguy6ddrtv5rm278quanyamntvhugp4cndazde,391.0
stake1u99m6fhpzqehzjc0fme0d0nhw826yeqknzv9ufdv95jzw7gvu9aaa,2412.0
stake1uy7ws0ur4prrqmsvxwqekjhmn9a27jd2jltcpzjp4sez06c6uazc3,1422.0
stake1u8mxh9kpz2k33jvs02k5ddceetd9k50m9h06jku8zd4pvacjmqyfw,504.0
stake1u9n20407rnr53p9arpvszfvvazsa4ezen2gk20fzda32yts0rstd8,18216.0
stake1uxt0x5rxu3spyxkdnutjaj2lm9ksc4vaxctarne78s56xrgjk0kk3,6336.0
stake1u8jzx60k96dpwzt79pfddxt3thfhrg8cpmge0gmsn7a4qjsyk93tf,3744.0
stake1u83v638f0hgkqewdh6eh5fzdhxunuzs6pa0zqwqmpzrjp2qxl2n8c,351.0
stake1u8yae5xgf9qq8ulthlesjqvusd3n7h3j704dgdq0v0lj7xsds8tnq,3779.0
stake1u92jt7y526rnatk3uvg77nla8uwxcwj5w0uyahgds99tl9qyr730f,1284.0
stake1ux7eqqnehmnddv9jdx2k0mauxxraagq2frvxscmngernymg7uk2m8,459.0
stake1u9ktd8g9l74dsxy7hnfer07n8gu7vrgule5tnmmcn4ezpag8594er,594.0
stake1u8kacddzg3yd77j3fenwy6ahx3mn89a4mprwyjrpdy2sd6qylv375,1044.0
stake1u8r0nq0782t72alatyem3wn8amxwuqd47jmpa72kq4ku8yca7r6f3,6192.0
stake1uxqfjw956q0pw60eqjcpk4nefd44pvqeqqmdd6d6zmtczhcxqae5h,623.0
stake1uxe3v8dclnkrs8epsapnhqke4g38zya54glkw5msjywp02gja2efd,5076.0
stake1u9n4ktgu7d4pseapyx4r0tm3kj6wjp6pzlec37wsv6yug4sv6vplt,180.0
stake1u9sh73sst2xn23rqynwygkawma42xkafwfapjgqzqta9q6cfvd3c0,4122.0
stake1u92fc26zptwnwl46qr093v6zdxw6fljjt6h8853cc64q75gz9zl3h,1125.0
stake1u8xf5s390qepltperxgret52vvrv0tyhqh7u54h7t7ulg0ck2gcc3,3024.0
stake1uy4hywpcx78qpyyk9rr76tzke9dlx8jycdveg3hf02rf8usjpc6v5,738.0
stake1u9cgh9lu8sasf9ygsjvwplhaw3w7jajmqjd7l0ys2kqh59g9p2tlk,648.0
stake1uxkp9aug3wj9n9dnw02r2a57lzpt5r0hvr6v2lrdsmnhzys0wya49,6768.0
stake1u8mpawakgw06auwfedjt3afvwgylwf7668vk3yagh5tqkaq98vw6q,6732.0
stake1uys8la7hsq7p7y0vymzat8qf28pjk48fh3mjklvsrnx5m3gc2z24h,324.0
stake1uyr9nn7tes8hzdt9gpzksumwj6akj8q20lpa75m6t9xzw2q42jatd,621.0
stake1uxgg8w4fkqlzqp8fcxytr2zmwmlnm5yhz87e0ej500kzxjcndzsq3,1026.0
stake1u860ee4zk3lp30lqq3mdl9tt7t2frw65kzuxwmutnvmqq9cc0uwph,1170.0
stake1uxjdgelh5ux8kyq8pgfc8enwufn87tk9my0wj75vxtqt5lqr7fjh5,1422.0
stake1uy9hu0pn9g9dehtkyefdstl0v2c6sfsdjf04aey5vr4kj9czdflkq,216.0
stake1u94une009wn8a32ekpuf0s06e8swp8rhw69d955zv999dmqxgm0m7,40320.0
stake1uygjs8t7wzrcl67zelggdg43sv5u5lugf27wlhvvac2jfusv8lsdv,360.0
stake1u9gyeq64ghxxa2n8wpn9y2m2zjsfeyv9p4ql5psrc5rfdcs6etvgx,1017.0
stake1uxhrm3u36h3gd7e0q6plywllypefsmgyte4manz3ehkw39cvyg8xx,3762.0
stake1ux3ff7u8m3crdl9x9543e0q428rflyljpfwsmvhlv3adxzqzcn79z,767.0
stake1ux0ktjgqskw0mq8ug0ky9efh743222n59rnfnj94k9uau7cr7lwyu,540.0
stake1u9kxxg2mu2ek68m4fm5nqnjqfyyecrv79p7cduddaw05cus3a2pa6,216.0
stake1ux6ztk37p76e2e93tu86heddnstw77haapkm46mlszrq7pgp5keyy,1494.0
stake1uyzy3ud2zkul0htrgt7s2pyu9yfqjnskyecngpm3uyn3zlqegsxt6,774.0
stake1uxnz4g2y95zurdh27qxv70hplftmfsj0ftudyd09drrpq6qpqv5xj,5067.0
stake1u865ey3lzf5qsmpf2dx7lxhp4qgzc2hlp83semjjngq93hses372z,66.0
stake1uyttkzh5zh6sph6vm9supyufkfayk97q20mrms59juruwdcxqcxf6,3258.0
stake1u92q9wvahxv6s9luuenn5ln5y5k94g2desrnund5ldj2djsjwa57p,585.0
stake1uyc9tem2r3l020xj3zx83hmnedz3x380g7dj0fjvaghnmycl2dmpg,8307.0
stake1u9q084yl7q6f4zu0wenzg4xme9t99adctawm0e54d6kh60shuf6qz,792.0
stake1u8t24dn9sm54tg70yrxawpkrwjmcqr7pkfumldrmjgs3tfq6hh4jt,7074.0
stake1u9ynzx4qxhm0su3g2qwa7gm29sxcdgd7gxxj7le76sxntjszxdmd8,23796.0
stake1uxyz99a249083awu4yc2wvm2dy6ackn4kv09p0z3jglya2qlxamad,8955.0
stake1uxjjrs05pz49755whwft8spzrdvr0cxj54t8lg4rzm0rxngfmnjde,19476.0
stake1u9ah83wa85hffqzrmxqranwzzvhvnlzhreqld7x6h68rxuq60xxgk,1796.0
stake1u8hwn8w8xcqgpmzr5ffdhvp0lwx99m30ahm4qrczh6sz7hcykmelr,1116.0
stake1uypdwdkp2ecnflyglaw66m3g0aknhpay38tc9akwh3k8uagmkrhrt,360.0
stake1ux0d3tt7zpx0lj3ajzqlfkmgzsx3u7gv676a7d9g56c085grcc0ha,544.0
stake1u8kym47meyzrlzjk4emcr2fxhsk4zupud0je8f4mx9p085gwwjz64,432.0
stake1u9nj2t0w6r2vvgmqkhzyczhk4qd89v6uvg7vu3ydk9umsacwvxc4m,33411.0
stake1uy470mkjv5g70ftjfeeg0j0y7a6xd4zp4tqqlg0p5pff8jgzmnd4u,3483.0
stake1uywv5uqcw0fpmv6chchj3n7nvhjtdqlnkxl0yy8jas2hx0gfz3fqw,9477.0
stake1uxr8wj2l5974j8f7tsck2ga6qjath6fv5q5ng27g9u9aq9gzs3rxq,1503.0
stake1u9w0gx3240pw59eazt7vgu7fc2xrkxv57f38k43lyfglq6gczwxhy,976.0
stake1u9lxcpw2cy9a56f4mps849yz3wx4aw2349g033tmyazuf6q05uqwh,5463.0
stake1u9qjd0uq8cae0txn5nm2x44294w7ur8m70xuu8cy6meu0qcv57qu7,1521.0
stake1uyk0pm34f25fyj5p9znnmyjk3yrqqyaw8c9qlzh9gqg2faq7uaq4t,11691.0
stake1u9t4ctatqxjtf0yy4qj7ac7af2pc7f93dv670dmatr4lhfsmuxynq,3150.0
stake1ux3wrludtcd6ajlk3sdr5ewra204erhak65fqw9tehf6nvqs7n9gr,330.0
stake1u86x6r6hxv5r044scwmuvje5lucdxdaxsd80jdcrzs29v9seuyanr,2394.0
stake1u9mz4fqfztl37q4fdjv0gy66dm34uhsf3cw9h3fdd43zk9ctxg6hh,270.0
stake1uyth8j5mescyds49nftwetddm8zc2gk9dlquvt4cu8zj8eg9n8gyn,5427.0
stake1u90rtxqmr6mrr5jtg0r38sn98g7y6kfafr5w3wemmsgckysk95h8v,9873.0
stake1uyw3zzfca8m8zrwf3eh9h5jd7ujzvf5u4d9j7errsh6emhsvn3dur,571.0
stake1uxpk2aq0g42dt46329uysqh6tw6mj2mpxp5heh4er52szggpsufaq,3105.0
stake1u8h73zqxve6llkz35jhrrfj3arkgqaskwhg8mh7k446q92qxx2827,3780.0
stake1u9y434nhrqpe20gh3e05tnact6ge9xqc0ll50xwml2su4xq2tuwtp,378.0
stake1u974u34myk4pe20y65zq6h6ckafhnpxxx0gjt7yzwv2rh6slr9g8v,1539.0
stake1u90ewtprw8up4fyhnc7pfhdmay8c59kkp4n9x9ulc73zqxs6rgcw5,448.0
stake1u8u3dduu63uhy5jgxsysf6xc94km4n3pvmxvl2r3chtk2cq6v9h5d,2560.0
stake1uy56sureqevdy9yu8j54w40tz3zyejqsgdau2tcfzda3a7c90s20c,2763.0
stake1uynwy7a625fcgj8gg2nv3tcar04my0udxja4me5j7s2gurctal6xd,486.0
stake1u9ngnpnr8zg9pzhsuddy9xeaf7s8xwyd4rye9ccxqqpcq7c235fkt,6714.0
stake1u87cl3j8gchhxg3j734cskje456a90eehf5dhdwsd9ms26cwd9svh,666.0
stake1u8vfv0ej6cqyx5m46dqy07ke6wmxwvazkxa2ks3q9ncs3lq6ggfrm,44343.0
stake1u9rzfwgq0wt0tsst2s6fzfq4zus5x4gt7lp9hehgz9k5gzgnx8dta,3834.0
stake1u882cfmupxst390q50mzsdqnmpn3f8k50zt6mr5d2vxyhcq4258qf,2583.0
stake1uysr5eeq356eyuc0nk0df4dcwujr0s2tecrx7lfd0ul6yecs47maw,1980.0
stake1uynqwdtawpv6pcna85rwfyea0mr5wtnxqf8v8cdmuj96qsga2d76r,1539.0
stake1u8sxhl7ra7w9sp2d42n5kpu3yyxdeecvgd6d24wp39qhkrskpqg5h,1845.0
stake1uxv0jd2e7w2uql4httkju8p4qn4n6lhygle0fjtwk3gyajqvx54az,6633.0
stake1u860gmmnh4pvqhfjkqwd277kekfuf5mtwmrd40mg5pxjr4cunqw36,1035.0
stake1u8rsft9xhc2q40maed6a6u4e0m2smvn689wzj2a28fp4n7sdr8vg7,3456.0
stake1u837nh2jl3lwauhygxfyyjznxvaftlgcdaajfzk3vrgfxlclm63m6,736.0
